epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,15205.7,1.46492,3.70928,2.26502,0.84776,0.70975,0.75242,0.57695,1.57411,3.07522,2.12154,0.000618279,0.000618279,0.000618279
89,15377.9,1.46842,3.70282,2.26678,0.8462,0.70938,0.75248,0.57714,1.57196,3.06751,2.11906,0.000528124,0.000528124,0.000528124
90,15550.9,1.46823,3.71033,2.26095,0.84491,0.71133,0.75379,0.577,1.57168,3.07189,2.11785,0.00044485,0.00044485,0.00044485
91,15739.4,1.34816,3.22106,2.19987,0.84015,0.71351,0.75325,0.57706,1.57252,3.08092,2.11858,0.000368539,0.000368539,0.000368539
92,15910.5,1.32689,3.06466,2.17552,0.84085,0.71216,0.75372,0.57781,1.57068,3.07908,2.11744,0.000299268,0.000299268,0.000299268
93,16081.9,1.32126,3.04049,2.16538,0.83634,0.7165,0.75345,0.57698,1.56828,3.07132,2.11559,0.000237103,0.000237103,0.000237103
94,16252.9,1.31403,3.03147,2.16553,0.84451,0.71502,0.75406,0.57748,1.56704,3.06955,2.11479,0.000182106,0.000182106,0.000182106
95,16424.5,1.30785,3.01931,2.16237,0.8423,0.71545,0.75406,0.57897,1.5652,3.06866,2.11312,0.000134332,0.000134332,0.000134332
96,16596.3,1.30886,3.00263,2.166,0.8441,0.71605,0.75546,0.57864,1.56531,3.06596,2.11258,9.38282e-05,9.38282e-05,9.38282e-05
97,16768.6,1.31774,3.01322,2.16574,0.84568,0.71823,0.75615,0.57914,1.56409,3.0665,2.11144,6.06338e-05,6.06338e-05,6.06338e-05
98,16939.8,1.30926,2.99855,2.16169,0.84402,0.71837,0.75606,0.57894,1.56356,3.06603,2.11128,3.47819e-05,3.47819e-05,3.47819e-05
99,17111.3,1.30142,3.00062,2.15722,0.8397,0.72029,0.75601,0.579,1.56315,3.06561,2.1112,1.62981e-05,1.62981e-05,1.62981e-05
100,17282.9,1.3103,2.97888,2.15911,0.84154,0.72123,0.7565,0.57892,1.56435,3.06425,2.11171,5.20043e-06,5.20043e-06,5.20043e-06
